id,type,name,domicile,cluster
C0020,Company,"Nusa Prima Manunggal, PT",Indonesia,Cluster_004
C0021,Company,"Dunia Karya Sejati, PT",Indonesia,Cluster_004
C0030,Company,"Panca Sarana Selaras, PT",Indonesia,Cluster_004
P0028,Person,Robert Siahaan,Indonesia,Cluster_004
P0029,Person,Rino Ardiyan,Indonesia,Cluster_004
